Id,Category
0,gettonare+V
1,incidentale+A
2,involtare+V
3,lievo+N
4,comunistizzare+V
5,vidimare+V
6,imbrodre+V
7,strillare+V
8,cifrare+V
9,compassare+V
10,cuci+V
11,snobbare+V
12,tessere+V
13,coagulare+V
14,somatizzare+V
15,impoverimento+N
16,smungere+V
17,abbuffare+V
18,meravigliare+V
19,risucchiare+V
20,sesquipedale+A
21,timido+A
22,nauseare+V
23,ingozzare+V
24,stimare+V
25,relazionare+V
26,sorridere+V
27,illuminare+V
28,concitare+V
29,dissecare+V
30,deregolamentare+V
31,elettrizzare+V
32,ripiovere+V
33,ottimizzare+V
34,accordare+V
35,barrare+V
36,arguire+V
37,sfuggire+V
38,ritorcere+V
39,rifiatare+V
40,sgobbare+V
41,adoprare+V
42,abbigliare+V
43,complimentare+V
44,plurale+N
45,soprassedere+V
46,affermare+V
47,frusciare+V
48,amareggiare+V
49,autoalimentare+V
50,escut+V
51,secca+A
52,talentare+V
53,derapare+V
54,distinguere+V
55,frizzare+V
56,sincopare+V
57,tentacolare+V
58,scomponibile+A
59,microbiologo+N
60,disinnestare+V
61,foracchiare+V
62,fertilizzare+V
63,smaniare+V
64,infischiare+V
65,semicircolare+V
66,cotonare+V
67,fiorire+V
68,collocabile+A
69,decantare+V
70,tradizionalismo+N
71,fornitore+A
72,acclimatare+V
73,infangare+V
74,sterilizzare+V
75,evoluire+V
76,inserito+A
77,sintonizzare+V
78,impeciare+V
79,professare+V
80,svantaggiare+V
81,appaltare+V
82,spaccare+V
83,astrologo+N
84,biascicare+A
85,scapitare+V
86,rivoltare+V
87,sgomentare+V
88,disattrezzare+V
89,nomare+V
90,viados+N
91,mangiucchiare+V
92,guaire+V
93,abbuffare+V
94,vagare+V
95,ricomunicare+V
96,attraccare+V
97,delineare+V
98,antilicenziamento+N
99,dittatorio+A
100,anticostituzionale+A
101,standardizzare+V
102,sintonizzare+V
103,sincerare+V
104,girovaghare+V
105,sincerare+V
106,decadere+A
107,ammorbare+V
108,bulinare+V
109,arricciare+V
110,aiola+N
111,ricomunicare+V
112,ccere+V
113,molcere+V
114,sintonizzare+V
115,preavvisare+V
116,sessantottino+N
117,elaboratore+A
118,affumicare+V
119,mugghiare+V
120,lasciare+V
121,eccedere+V
122,torturatore+N
123,palesare+V
124,ingessare+V
125,posizionare+V
126,premettere+V
127,naturalistico+A
128,prevalere+V
129,inviperire+V
130,rimontare+V
131,putrefare+V
132,denotare+V
133,furtivo+A
134,inguainare+V
135,bisbocciare+V
136,ghermire+V
137,sillogizzare+V
138,sgelare+V
139,sceverare+V
140,commettere+V
141,lerciare+V
142,svoltare+V
143,rimembrare+V
144,corallinao+A
145,appiedare+V
146,scolare+V
147,invidiare+V
148,defluire+V
149,preordinare+V
150,citofonare+V
151,annualizzare+V
152,dileguare+V
153,pupill+N
154,ammaestrare+V
155,superbollio+N
156,mugolare+V
157,rimpatrare+V
158,riallungare+V
159,appuntare+V
160,complimentoso+A
161,tergiversare+V
162,scarnificare+V
163,confluire+V
164,serbare+V
165,immergere+V
166,avvalere+V
167,coreografare+V
168,ammutolire+V
169,sovrapproduzione+N
170,cruscheggiare+V
171,controfirmare+V
172,enfatizzare+V
173,stipulare+V
174,interpellare+V
175,vigilare+V
176,prolungre+V
177,lessico+N
178,incatramare+V
179,molcere+V
180,fratturare+V
181,caramelloso+A
182,insilare+V
183,bahiano+A
184,riscontare+V
185,sorprendere+V
186,chiamare+V
187,crepuscolare+V
188,impermalire+V
189,frammentare+V
190,appartenre+N
191,spiare+V
192,ritagliare+V
193,scagionare+V
194,autoconvincere+V
195,emulare+V
196,incendiare+V
197,strapagare+V
198,affascinare+V
199,debilitare+V
200,distingure+V
201,sgobbare+V
202,risanare+V
203,insalubre+A
204,intasare+V
205,accoccolare+V
206,espungere+V
207,pispigliare+V
208,disarmonicao+A
209,verseggiare+V
210,ingraziare+V
211,srotolare+V
212,normalizzare+V
213,decontestualizzare+V
214,rivendere+V
215,attristare+V
216,appesantire+V
217,abbottonare+V
218,fiocinare+V
219,vitalismo+N
220,frazionabile+A
221,impermeabilizzare+V
222,specificare+V
223,reinserire+V
224,circospettao+A
